Component;Needed QTY;Price [€];Link
5' TouchScreen;1;17,28;https://it.aliexpress.com/item/1005005777123509.html?spm=a2g0o.productlist.main.1.21e7HxGZHxGZWF&algo_pvid=6d5da2cb-615c-4688-9a44-7f43b59fe52e&pdp_ext_f=%7B%22order%22%3A%22320%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005005777123509%7C_p_origin_prod%3A
Microphone;2;0,87;https://it.aliexpress.com/item/1005006740892303.html?spm=a2g0o.productlist.main.1.2631364aA4tjA2&algo_pvid=8058f510-954a-4b26-b0bc-e7a0fc363174&pdp_ext_f=%7B%22order%22%3A%22390%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006740892303%7C_p_origin_prod%3A
Speakers;2;2,91;https://it.aliexpress.com/item/1005003986255449.html?spm=a2g0o.productlist.main.9.584b419dk1tD4m&algo_pvid=cc00665f-b863-4f56-a158-aa9db11e6a17&pdp_ext_f=%7B%22order%22%3A%2251%22%2C%22spu_best_type%22%3A%22order%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005003986255449%7C_p_origin_prod%3A
Speaker Amplifier;1;13,19;https://it.aliexpress.com/item/1005009241769734.html?spm=a2g0o.productlist.main.2.3c81ZdU1ZdU1TM&algo_pvid=c2da13dc-2656-474d-91a1-697ac9ed5065&pdp_ext_f=%7B%22order%22%3A%22-1%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009241769734%7C_p_origin_prod%3A
Raspberry Pi5 8Gb;1;137,32;https://it.aliexpress.com/item/1005006268136678.html?spm=a2g0o.productlist.main.1.6b1e2883ypm8bi&algo_pvid=2efc16c3-2808-4871-a1df-f600cb5b9a77&pdp_ext_f=%7B%22order%22%3A%22277%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006268136678%7C_p_origin_prod%3A
GPIO Extenders;1;1,76;https://it.aliexpress.com/item/1005001467856634.html?spm=a2g0o.productlist.main.8.70d3mtmjmtmjiI&algo_pvid=2df710f2-7204-4cea-a2a2-0858d3b96d99&pdp_ext_f=%7B%22order%22%3A%2292%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005001467856634%7C_p_origin_prod%3A
Magnets;10;0,87;https://it.aliexpress.com/item/1005010053445637.html?spm=a2g0o.productlist.main.2.79a53aebXzCvZn&algo_pvid=e3a5fb12-a4ab-4563-a47a-2fd58cb9685c&pdp_ext_f=%7B%22order%22%3A%22298%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005010053445637%7C_p_origin_prod%3A
5010 Fan;1;0,87;https://it.aliexpress.com/item/1005006306536871.html?spm=a2g0o.productlist.main.1.7095380e5TrF8p&algo_pvid=268d60de-4c33-446f-842c-43988c1dce6b&pdp_ext_f=%7B%22order%22%3A%226298%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006306536871%7C_p_origin_prod%3A
64/128Gb sd card;1;2,11;https://it.aliexpress.com/item/1005009903743506.html?spm=a2g0o.productlist.main.1.1d6821d5u5BQOn&algo_pvid=f75aa2d8-ec37-4c36-b0b1-f8934da9533a&pdp_ext_f=%7B%22order%22%3A%221620%22%2C%22spu_best_type%22%3A%22order%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009903743506%7C_p_origin_prod%3A
Screws and Heat Inserts;1;12,27;https://it.aliexpress.com/item/1005007830491580.html?spm=a2g0o.productlist.main.1.52441f05xOfWFZ&algo_pvid=dbb4a427-a1eb-411a-b9d3-f4505c235b59&pdp_ext_f=%7B%22order%22%3A%223031%22%2C%22spu_best_type%22%3A%22order%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007830491580%7C_p_origin_prod%3A
Dupont Cables;.---;0,87;https://it.aliexpress.com/item/1005003269498051.html?spm=a2g0o.productlist.main.4.5331hwVVhwVV7Q&aem_p4p_detail=2026010912480013237559978543120011025952&algo_pvid=5c08dfe4-9a99-4bff-b43f-6cdd519bee7e&pdp_ext_f=%7B%22order%22%3A%22827%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005003269498051%7C_p_origin_prod%3A&search_p4p_id=2026010912480013237559978543120011025952_1
Rasberry power supply/cable;1;17,44;https://it.aliexpress.com/item/1005006151216642.html?spm=a2g0o.productlist.main.3.2b531cc88cUWG0&algo_pvid=f975e53e-4d1d-47ec-ae6e-e303f70243ee&pdp_ext_f=%7B%22order%22%3A%22116%22%2C%22spu_best_type%22%3A%22service%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006151216642%7C_p_origin_prod%3A
Microbuttons;6;0,87;https://it.aliexpress.com/item/1005003985634160.html?spm=a2g0o.productlist.main.26.6afa1113lp67bW&utparam-url=scene%3Asearch%7Cquery_from%3Apc_back_same_best%7Cx_object_id%3A1005003985634160%7C_p_origin_prod%3A&algo_pvid=88814db3-8cbf-4d7e-be2d-7daed980d81b&pdp_ext_f=%7B%22order%22%3A%22569%22%2C%22spu_best_type%22%3A%22order%22%2C%22fromPage%22%3A%22search%22%7D
RPi5 Active cooler;1;3,66;https://it.aliexpress.com/item/1005007369671225.html?spm=a2g0o.productlist.main.12.23b0ed1c10fx8J&algo_pvid=db84c878-cca5-4669-826f-72951b684fa7&pdp_ext_f=%7B%22order%22%3A%22232%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007369671225%7C_p_origin_prod%3A
Raspberry AI Hat+ 13 TOPS;1;97,69;https://it.aliexpress.com/item/1005008016663902.html?spm=a2g0o.productlist.main.1.5fef57fbaH47Ek&algo_pvid=40ec7d43-0546-411a-91cf-fe1dc0f362d3&pdp_ext_f=%7B%22order%22%3A%2226%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008016663902%7C_p_origin_prod%3A
;;;
;;;
;;;
;;;
;;;
Total Price: ~€;309,98;;
